,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
67,152.0,"travel, hotel, booking, holiday, reservation, attraction, room, accommodation, worldwide, destination",32.0,0.0038
68,94.0,"city, mapping, mashup, town, scene, find, test, tribe, awareness, interact",19.0,0.0023
69,128.0,"business, company, enterprise, small, directory, appointment, corporate, reference, sized, found",55.0,0.0066
70,47.0,"location, mapping, locate, nearby, locator, cell, approximate, simply, relation, aggregate",57.0,0.0068
71,136.0,"bookmark, story, popular, link, digg, submit, bookmarklet, figure, bookmarke, dig",27.0,0.0032
72,186.0,"list, join, retrieve, table, ready, wait, username, extra, compile, patron",18.0,0.0022
73,48.0,"twitter, tweet, twitt, blogging, blogge, follower, timeline, hashtag, retweet, twitpic",10.0,0.0012
74,8.0,"messaging, chat, client, message, support, bot, room, presence, buddy, real_time",64.0,0.0076
75,84.0,"auction, drive, distance, calculate, fetch, ebay_auction, ecommerce_auction, bid, origin, taxi",96.0,0.0115
76,84.0,"auction, drive, distance, calculate, fetch, ebay_auction, ecommerce_auction, bid, origin, taxi",54.0,0.0065
77,53.0,"review, rating, rank, popularity, ranking, rate, distribution, user_generated, power, recommendation",26.0,0.0031
78,152.0,"travel, hotel, booking, holiday, reservation, attraction, room, accommodation, worldwide, destination",39.0,0.0047
79,152.0,"travel, hotel, booking, holiday, reservation, attraction, room, accommodation, worldwide, destination",18.0,0.0022
80,43.0,"history, year, collection, reference, trivia, historical, photograph, change, explore, geographically",17.0,0.002
81,41.0,"ecommerce, store, online, buy, sell, purchase, product, shopper, social, commerce",12.0,0.0014
82,16.0,"book, library, cover, title, ebook, read, author, catalog, publish, isbn",5.0,0.0006
83,187.0,"video, youtube, revver, motion, bring, break, directly, truveo, enhance, hassle",60.0,0.0072
84,22.0,"event, ticket, concert, calendar, venue, eventful, entertainment, live, purchase, seatwave",50.0,0.006
85,173.0,"local, localization, mapping, neighborhood, area, street, get_direction, quality, neighbor, info",53.0,0.0063
86,27.0,"time, hour, schedule, current, log, meeting, spend, today, period, update",19.0,0.0023
87,154.0,"music, lyric, song, play, playlist, artist, listen, spotify, rhapsody, rdio",21.0,0.0025
88,156.0,"widget, gadget, display, slideshow, desktop, homepage, embed, presentation, imageloop, google_gadget",30.0,0.0036
89,92.0,"form, tool, action, submit, convert, conversion, opportunity, fill, save, batch",15.0,0.0018
90,101.0,"tool, code, application_development, embed, build, website, yahoo_pipe, development, snippet, pull",46.0,0.0055
91,197.0,"work, safe, religion, adult, quick, traditional, copyright, put, registry, creative",42.0,0.005
92,24.0,"photo, flickr, image, upload, describe, launch, interestingness, interesting, exploration, paragraph",26.0,0.0031
93,38.0,"station, flight, travel, information, airport, status, delay, airline, international, travel_air",19.0,0.0023
94,188.0,"note, work, idea, thing, site, goal, life, main, promote, part",72.0,0.0086
95,184.0,"transportation, route, bus, time, stop, estimate, schedule, transit, train, arrival",40.0,0.0048
96,54.0,"music, artist, listen, audio, album, band, song, genre, myspace, musical",41.0,0.0049
97,198.0,"mapping, sport, route, direction, bike, cycling, ride, trail, gps, run",29.0,0.0035
98,162.0,"travel, plan, trip, destination, tourism, traveler, planning, itinerary, greek, experience",16.0,0.0019
99,70.0,"stock, bitcoin, currency, price, market, financial, trade, order, exchange, sell",31.0,0.0037
100,174.0,"create, user, upload, share, edit, comment, clip, effect, editor, customizable",23.0,0.0027
101,111.0,"mapping, plot, google_map, position, path, earth, satellite, title, social_networking, pie",25.0,0.003
102,9.0,"movie, celebrity, tv, watch, favorite, trailer, film, actor, celebritie, title",14.0,0.0017
103,109.0,"guide, travel, mapping, tour, virtual, visit, activity, thousand, boat, operator",34.0,0.0041
104,183.0,"photo, flickr, camera, geotagge, album, photography, panoramio, photographer, photo_share, uploaded",16.0,0.0019
105,91.0,"shipping, service, package, mail, ship, delivery, order, internet, rate, tracking",18.0,0.0022
106,58.0,"post, social, comment, blogging, twitt, friendfeed, reply, microblogging, status_update, tumblr",54.0,0.0065
